Division Of Mathematical Sciences,n
Division Of Computer and Network Systems,n
Div Of Industrial Innovation & Partnersh,n
Div Of Civil, Mechanical, & Manufact Inn,n
Div Of Chem, Bioeng, Env, & Transp Sys,n
Division Of Earth Sciences,y
Division Of Undergraduate Education,n
Division Of Behavioral and Cognitive Sci,n
Div Of Information & Intelligent Systems,n
Division Of Chemistry,y
Division Of Materials Research,y
Divn Of Social and Economic Sciences,n
Division of Computing and Communication Foundations,n
Division Of Ocean Sciences,y
Division Of Environmental Biology,n
Division Of Physics,y
Office Of Internatl Science &Engineering,n
Div Atmospheric & Geospace Sciences,y
Div Of Electrical, Commun & Cyber Sys,n
Division Of Integrative Organismal Systems,y
Div Of Biological Infrastructure,y
Div Of Molecular and Cellular Bioscience,y
Division Of Research On Learning,n
Division Of Astronomical Sciences,y
Office of Polar Programs (OPP),y
Office of Advanced Cyberinfrastructure (OAC),n
Division Of Human Resource Development,n
Division Of Graduate Education,n
Div Of Engineering Education and Centers,n
Division Of Polar Programs,y
Division Of Integrative Organismal Sys,y
SBE Off Of Multidisciplinary Activities,n
Emerging Frontiers,n
ICER,n
Office of Integrative Activities,n
Emerging Frontiers & Multidisciplinary Activities,n
Directorate For Geosciences,n
Direct For Social, Behav & Economic Scie,n
National Center For S&E Statistics,n
EPSCoR,n
Division Of Human Resource Management,n
Office Of Inspector General,n
Division Of Information Systems,n
Division of Institution & Award Support,n
Division of Financial Management,n
Division Of Administrative Services,n
National Science Board,n
Division of Acquisition & Cooperative Support,n
General Counsel,n
Office Of Legislative & Public Affairs,n
Office Of The Director,n
MPS Multidisciplinary Activities,y
Office of Budget, Finance, & Award Management,n
Budget Division,n
Office Of Information & Resource Mgmt,n
CISE Information Technology Research,n
National Coordination Office,n
Direct For Mathematical & Physical Scien,n
Direct For Biological Sciences,n
Arctic Sciences Division,y
Natl Nanotechnology Coordinating Office,n
Div Of Elem Secondary & Informal Sci Ed,n
Division of Information & Intelligent Systems,n
National Center for Science and Engineering Statistics.,n
Division of Behavioral and Cognitive Sciences,n
Division of Grants and Agreements,n
Large Facilities Office,n
Div Of Rsch, Evaluation and Communicatio,n
Direct For Education and Human Resources,n
Division Of Polar Progrms,n
Office Of Diversity and Inclusion,n
Division of Social and Economic Sciences,n
